drift_type,severity,severity_value,eod,dpd,ece,model,task,replication
label,1,0.2,0.010889292196007259,0.0040638737107977965,0.18466963230893124,mlp,med_change,1
label,2,0.25,0.05923568085791697,0.000620943696867049,0.3358194706103599,logistic_regression,readmit_30,1
label,2,0.25,0.006841736296633132,0.00441197787900411,0.12328060986224956,xgboost,readmit_30,1
label,2,0.25,0.0,0.0,0.23464226518788597,mlp,readmit_30,1
label,2,0.25,0.0,0.0,0.7499843635434449,logistic_regression,extended_stay,1
label,2,0.25,0.0614285502834504,0.04106057755864101,0.058676931395078936,xgboost,extended_stay,1
label,2,0.25,0.0,0.0,0.7499167701675632,mlp,extended_stay,1
label,2,0.25,0.06073498692654055,2.7204756180565504e-05,0.1939222005343877,logistic_regression,med_change,1
label,2,0.25,0.3064159292035398,0.02399930506992587,0.23013605373577165,xgboost,med_change,1
label,2,0.25,0.010232300884955753,0.0040638737107977965,0.2311620195242245,mlp,med_change,1
concept,0,1.5,0.0905433343744888,0.000620943696867049,0.4583274888231298,logistic_regression,readmit_30,1
concept,0,1.5,0.006499784332098822,0.00441197787900411,0.024538865967042658,xgboost,readmit_30,1
concept,0,1.5,0.0,0.0,0.12067681892896155,mlp,readmit_30,1
concept,0,1.5,0.0,0.0,0.6601689725457265,logistic_regression,extended_stay,1
concept,0,1.5,0.2003029999462818,0.04106057755864101,0.12093766360742451,xgboost,extended_stay,1
concept,0,1.5,0.0,0.0,0.6601013791698449,mlp,extended_stay,1
concept,0,1.5,0.07547200992206662,2.7204756180565504e-05,0.4588181930461222,logistic_regression,med_change,1
concept,0,1.5,0.4692903529827559,0.02399930506992587,0.4502814011176937,xgboost,med_change,1
concept,0,1.5,0.0199907019990702,0.0040638737107977965,0.5372859841722598,mlp,med_change,1
concept,1,2.0,0.13826273472556683,0.000620943696867049,0.44173342120230413,logistic_regression,readmit_30,1
concept,1,2.0,0.007316463358467227,0.00441197787900411,0.03076164132485225,xgboost,readmit_30,1
concept,1,2.0,0.0,0.0,0.13519662809718394,mlp,readmit_30,1
concept,1,2.0,0.0,0.0,0.6157798416600182,logistic_regression,extended_stay,1
concept,1,2.0,0.18208357837912803,0.04106057755864101,0.11414184882383799,xgboost,extended_stay,1
concept,1,2.0,0.0,0.0,0.6157122482841365,mlp,extended_stay,1
concept,1,2.0,0.08472436098423294,2.7204756180565504e-05,0.5251944635294246,logistic_regression,med_change,1
concept,1,2.0,0.4812314405398105,0.02399930506992587,0.46247747436098585,xgboost,med_change,1
concept,1,2.0,0.019412090959511925,0.0040638737107977965,0.606151364798686,mlp,med_change,1
concept,2,3.0,0.18111920267770265,0.000620943696867049,0.4085452859606531,logistic_regression,readmit_30,1
concept,2,3.0,0.007319837883502829,0.00441197787900411,0.05219682820683766,xgboost,readmit_30,1
concept,2,3.0,0.0,0.0,0.17087387348195887,mlp,readmit_30,1
concept,2,3.0,0.0,0.0,0.5270015798886014,logistic_regression,extended_stay,1
concept,2,3.0,0.18704549721509484,0.04106057755864101,0.1763138644554894,xgboost,extended_stay,1
concept,2,3.0,0.0,0.0,0.5269339865127198,mlp,extended_stay,1
concept,2,3.0,0.09644024780775123,2.7204756180565504e-05,0.6660366124611812,logistic_regression,med_change,1
concept,2,3.0,0.49745585270299114,0.02399930506992587,0.48508689149436063,xgboost,med_change,1
concept,2,3.0,0.02531645569620253,0.0040638737107977965,0.7480231702259791,mlp,med_change,1
covariate,0,0.5,0.25238075285061645,0.24600838631765276,0.6052235008317001,logistic_regression,readmit_30,2
covariate,0,0.5,0.020419680878354114,0.0056565329505660275,0.027753472028370103,xgboost,readmit_30,2
covariate,0,0.5,0.0,0.0,0.10497229098885659,mlp,readmit_30,2
covariate,0,0.5,0.0,0.0,0.7044181589632734,logistic_regression,extended_stay,2
covariate,0,0.5,0.12453345015332618,0.1062117725761858,0.11140873529955055,xgboost,extended_stay,2
covariate,0,0.5,0.0,0.0,0.7044179786285563,mlp,extended_stay,2
covariate,0,0.5,0.09202307858164485,0.049547572261035774,0.3136985680971535,logistic_regression,med_change,2
covariate,0,0.5,0.00531696925978975,0.02399930506992587,0.004406470248274378,xgboost,med_change,2
covariate,0,0.5,0.00872728011622827,0.004686151246578755,0.4530936244418006,mlp,med_change,2
covariate,1,1.0,0.335655770345368,0.3244153558260535,0.7095362550935987,logistic_regression,readmit_30,2
covariate,1,1.0,0.03165563593453389,0.010427327391553373,0.08064072731217022,xgboost,readmit_30,2
covariate,1,1.0,0.0,0.0,0.10878796432270443,mlp,readmit_30,2
covariate,1,1.0,0.0,0.0,0.7044181705021684,logistic_regression,extended_stay,2
covariate,1,1.0,0.3234413833067755,0.3150895987533274,0.267085804734777,xgboost,extended_stay,2
